电影名,类型,票房,国家及地区,观看地址,导演
红海行动,动作,365078,中国/中国香港,http://www.cbooo.cn/m/655823,林超贤 Dante Lam
唐人街探案2,喜剧,339769,中国,http://www.cbooo.cn/m/663419,陈思诚 Sicheng Chen
我不是药神,剧情,309996,中国,http://www.cbooo.cn/m/676313,文牧野 Muye Wen
西虹市首富,喜剧,254757,中国,http://www.cbooo.cn/m/671983,闫非 Fei Yan
复仇者联盟3：无限战争,动作,239053,美国,http://www.cbooo.cn/m/675789,安东尼·罗素 Anthony Russo
捉妖记2,喜剧,223708,中国香港/中国,http://www.cbooo.cn/m/656875,许诚毅 Raman Hui
毒液：致命守护者,动作,187013,美国,http://www.cbooo.cn/m/662209,鲁本·弗雷斯彻 Ruben Fleischer
海王,动作,185218,美国,http://www.cbooo.cn/m/665526,温子仁 James Wan
侏罗纪世界2,动作,169588,美国,http://www.cbooo.cn/m/667168,胡安·安东尼奥·巴亚纳 Juan Antonio Bayona
前任3：再见前任,喜剧,164667,中国,http://www.cbooo.cn/m/663359,田羽生 Yusheng Tian
头号玩家,科幻,139666,美国,http://www.cbooo.cn/m/657862,史蒂文·斯皮尔伯格 Steven Spielberg
后来的我们,爱情,136152,中国,http://www.cbooo.cn/m/663327,刘若英 Rene Liu
一出好戏,喜剧,135505,中国,http://www.cbooo.cn/m/677028,黄渤 Bo Huang
无双,动作,127376,中国/中国香港,http://www.cbooo.cn/m/678141,庄文强 Felix Chong
碟中谍6：全面瓦解,动作,124522,美国,http://www.cbooo.cn/m/657756,克里斯托夫·迈考利 Christopher McQuarrie
巨齿鲨,动作,105178,美国,http://www.cbooo.cn/m/644333,乔·德特杜巴 Jon Turteltaub
狂暴巨兽,动作,100395,美国,http://www.cbooo.cn/m/676242,布拉德·佩顿 Brad Peyton
超时空同居,奇幻,89988,中国,http://www.cbooo.cn/m/676391,苏伦 SuLun
蚁人2：黄蜂女现身,动作,83156,美国/英国,http://www.cbooo.cn/m/676247,佩顿·里德 Peyton Reed
无名之辈,剧情,79409,中国,http://www.cbooo.cn/m/678587,饶晓志 Xiaozhi Rao
无问西东,剧情,75430,中国,http://www.cbooo.cn/m/589946,李芳芳 Fangfang Li
神秘巨星,剧情,74707,印度,http://www.cbooo.cn/m/670328,阿德瓦·香登 Advait Chandan
西游记女儿国,喜剧,72738,中国,http://www.cbooo.cn/m/644530,郑保瑞 Pou-Soi Cheang
摩天营救,动作,66981,美国,http://www.cbooo.cn/m/662063,罗森·马歇尔·瑟伯 Rawson Marshall Thurber
黑豹,动作,66259,美国,http://www.cbooo.cn/m/644135,瑞恩·库格勒 Ryan Coogler
